Composition,Uses
Lactitol (66.67% w/v), Constipation
Empagliflozin (25mg),Treatment of Type 2 diabetes mellitus
Gabapentin (6% w/w) + Lidocaine (5% w/w) + Baclofen (2% w/w), Neuropathic pain
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Acarbose (50mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glipizide (5mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Cefpodoxime Proxetil (50mg),Treatment of Bacterial infections
Metformin  (1000mg) +  Vildagliptin (50mg),Treatment of Type 2 diabetes mellitus
Glucosamine (750mg) + Diacerein (50mg) + Methyl Sulfonyl Methane (250mg), Osteoarthritis
Gabapentin (100mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Progesterone (Natural Micronized) (300mg), Hormone replacement therapyTreatment of Female infertility
Itopride (150mg),Treatment of HeartburnTreatment of Nausea
Granisetron (1mg/5ml), Nausea and vomiting due to chemotherapy
Metformin (250mg),Treatment of Type 2 diabetes mellitus
Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg) + Amitriptyline (10mg), Neuropathic pain
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Ursodeoxycholic Acid (300mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Empagliflozin (10mg) + Linagliptin (5mg),Treatment of Type 2 diabetes mellitus
Cefpodoxime Proxetil (50mg/5ml) + Clavulanic Acid (31.25mg/5ml),Treatment of Respiratory tract infection
Glimepiride (3mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Dapagliflozin (10mg),Treatment of Type 2 diabetes mellitus
Allylestrenol (5mg),Treatment of Premature LaborTreatment of Recurrent miscarriage
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (0.5mg),Treatment of Type 2 diabetes mellitus
Levofloxacin (500mg),Treatment of Bacterial infections
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glimepiride (2mg) + Metformin (1000mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Clindamycin (1% w/w) + Nicotinamide (4% w/w),Treatment of Acne
Terbinafine (250mg), Fungal infections
Cefpodoxime Proxetil (200mg) + Dicloxacillin (500mg),Treatment of Bacterial infections
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glycopyrrolate (1mg), General Anaesthesia Peptic ulcer disease
Acarbose (25mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Risedronate (35mg), Osteoporosis
Domperidone (10mg) + Omeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Progesterone (200mg), Hormone replacement therapy Female infertility
Formoterol (12mcg) + Glycopyrrolate (25mcg), Chronic obstructive pulmonary disease (COPD)
Cefpodoxime Proxetil (25mg),Treatment of Bacterial infections
Calcitonin (Salmon) (200IU), Post menopausal osteoporosis Paget's disease
Voglibose (0.2mg) + Metformin (500mg) + Gliclazide (80mg),Treatment of Type 2 diabetes mellitus
Silodosin (8mg),Treatment of Benign prostatic hyperplasia
Gabapentin (300mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gabapentin (100mg) + Amitriptyline (10mg), Neuropathic pain
Cinnarizine (20mg) + Dimenhydrinate (40mg),Treatment of Vertigo
Cefpodoxime Proxetil (100mg),Treatment of Bacterial infections
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Granisetron (1mg), Nausea and vomiting due to chemotherapy
Gliclazide (40mg),Treatment of Type 2 diabetes mellitus
Gentamicin (80mg),Treatment of Bacterial infections
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Hepatitis B Vaccine (rDNA) (20mcg), Prevention of Hepatitis B infection
Dimenhydrinate (50mg),Treatment of Allergic conditions Motion sickness
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Beclometasone (0.025% w/w) + Neomycin (0.5% w/w) + Clotrimazole (1% w/w),Treatment of Skin infections
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Cefpodoxime Proxetil (100mg) + Clavulanic Acid (62.5mg),Treatment of Respiratory tract infection
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Terbutaline (2.5mg) + Bromhexine (8mg),Treatment of Cough
Granisetron (1mg), Nausea and vomiting due to chemotherapy
Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Gliclazide (80mg),Treatment of Type 2 diabetes mellitus
Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Ganciclovir (1.5mg), Cytomegalovirus Infection
Progesterone (100mg), Hormone replacement therapy Female infertility
Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Cefixime (200mg) + Clavulanic Acid (125mg),Treatment of Bacterial infections
Diclofenac (5% w/w) + Capsaicin Based Rubefacients (0.035% w/w) + Menthol (5% w/w) + Methyl Salicylate (10% w/w) + Pregabalin (8% w/w), Neuropathic pain
Domperidone (10mg) + Omeprazole (10mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Ammonium Chloride (138mg) + Sodium Citrate (57.03mg) + Diphenhydramine (14.08mg) + Menthol (1.14mg), Cough
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Rifaximin (400mg),Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
Gliclazide (60mg),Treatment of Type 2 diabetes mellitus
Gliclazide (60mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Ursodeoxycholic Acid (450mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Pregabalin (25mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Calcitonin (Salmon) (200IU), Post menopausal osteoporosis Paget's disease
Acarbose (50mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Timolol (0.5% w/v), Glaucoma Ocular hypertension
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Doxylamine (10mg) + Vitamin B6 (Pyridoxine) (10mg),Treatment of Nausea and vomiting in pregnancy
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Granisetron (1mg), Nausea and vomiting due to chemotherapy
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Empagliflozin (10mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Lindane (1% w/v), Scabies
Gliclazide (30mg),Treatment of Type 2 diabetes mellitus
Metformin  (1000mg) +  Vildagliptin (50mg),Treatment of Type 2 diabetes mellitus
Levocetirizine (5mg),Treatment of Allergic conditions
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Bisacodyl (10mg),Treatment of Constipation
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Gefitinib (250mg), Non-small cell lung cancer
Gliclazide (60mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Human Normal Immunoglobulin (5gm), Immunoglobulins deficiency
Glimepiride (2mg) + Metformin (1000mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Insulin Glargine (100IU), Diabetes
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Pregabalin (75mg) + Nortriptyline (10mg) + Methylcobalamin (1500mcg),Treatment of Neuropathic pain
Isoxsuprine (40mg),Treatment of Premature LaborTreatment of Peripheral vascular disease
Glutathione (500mg), Liver  disease
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Gabapentin (6% w/w) + Lidocaine (5% w/w), Neuropathic pain
Glycopyrrolate (2mg), General Anaesthesia Peptic ulcer disease
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Flunarizine (10mg),Prevention of Migraine
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Gabapentin (400mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Glibenclamide (2.5mg) + Metformin (400mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Empagliflozin (12.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Calcitriol (0.25mcg) + Calcium Carbonate (500mg) + Zinc (7.5mg) + Risedronate (35mg), Osteoporosis
Cefpodoxime Proxetil (200mg) + Cloxacillin (500mg) + Lactobacillus (90millionspores),Treatment of Bacterial infections
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Chlorhexidine Gluconate (NA),Treatment of Mouth infection
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Clomiphene (50mg) + Melatonin (3mg), Female infertility
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Metformin  (850mg) +  Vildagliptin (50mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (450mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Pregabalin (50mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Chlorpheniramine Maleate (1mg) + Paracetamol (125mg) + Phenylephrine (2.5mg),Treatment of Common cold
Acarbose (25mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Isotretinoin (20mg),Treatment of Acne
Itraconazole (100mg),Treatment of Fungal infections
Dexamethasone (0.1% w/w) + Gatifloxacin (0.3% w/w),Treatment of Bacterial eye infections
Domperidone (10mg),Treatment of IndigestionTreatment of NauseaTreatment of Vomiting
Glimepiride (2mg) + Metformin (1000mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Pregabalin (50mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Metformin (250mg),Treatment of Type 2 diabetes mellitus
Labetalol (100mg), Hypertension (high blood pressure) Angina (heart-related chest pain) Prevention of heart attack and stroke
Gliclazide (60mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (0.5mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Itraconazole (200mg),Treatment of Fungal infections
Metformin (850mg),Treatment of Type 2 diabetes mellitus
Metformin (500mg),Treatment of Type 2 diabetes mellitus
Minoxidil (5% w/v),Treatment of Hair loss
Tamsulosin (0.4mg) + Finasteride (5mg),Treatment of Benign prostatic hyperplasia
Rifaximin (100mg/5ml),Treatment of Infectious diarrhea
Glipizide (5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Bimatoprost (0.3mg/ml) + Timolol (5mg/ml),Treatment of GlaucomaTreatment of Ocular hypertension
Glimepiride (1mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Metformin (500mg),Treatment of Type 2 diabetes mellitus
Doxylamine (10mg) + Vitamin B6 (Pyridoxine) (10mg) + Folic Acid (2.5mg),Treatment of Nausea and vomiting in pregnancy
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Metoprolol Succinate (47.5mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Aceclofenac (100mg) + Thiocolchicoside (4mg),Treatment of Pain due to muscle spasm
Gabapentin (6% w/w) + Lidocaine (5% w/w), Neuropathic pain
Glibenclamide (5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Sodium Picosulfate (5mg/5ml),Treatment of Constipation
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Vildagliptin (50mg),Treatment of Type 2 diabetes mellitus
Terbutaline (1.5mg/5ml) + Bromhexine (4mg/5ml),Treatment of Cough
Atorvastatin (10mg) + Fenofibrate (160mg),Treatment of High cholesterolPrevention of Heart attack
Isotretinoin (10mg),Treatment of Acne
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Metoprolol Succinate (23.75mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gliclazide (60mg),Treatment of Type 2 diabetes mellitus
Granisetron (1mg), Nausea and vomiting due to chemotherapy
Progesterone (Natural Micronized) (200mg), Hormone replacement therapyTreatment of Female infertility
Ibandronic Acid (150mg),Treatment and prevention of postmenopausal Osteoporosis
Gabapentin (100mg) + Methylcobalamin (0.5mg) + Alpha Lipoic Acid (100mg), Neuropathic pain
Gabapentin (300mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Clotrimazole (200mg) + Lactobacillus (150Million spores) + Tinidazole (500mg), Syndromic treatment of vaginal discharge
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Bisacodyl (5mg),Treatment of Constipation
Insulin Glargine (100IU), Diabetes
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Terbutaline (2.5mg/5ml) + Bromhexine (8mg/5ml),Treatment of Cough
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glipizide (10mg),Treatment of Type 2 diabetes mellitus
Gliclazide (40mg),Treatment of Type 2 diabetes mellitus
Imatinib mesylate (400mg),Treatment of Cancer
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (1000mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Gliclazide (30mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Levofloxacin (750mg),Treatment of Bacterial infections
Gliclazide (60mg) + Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Letrozole (5mg),Treatment of Breast cancerTreatment of Infertility due to anovulation
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Granisetron (1mg), Nausea and vomiting due to chemotherapy
Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Clomiphene (100mg) + Melatonin (3mg), Female infertility
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (500mcg) + Pregabalin (25mg),Treatment of Neuropathic pain
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Calcitriol (0.25mcg) + Calcium Carbonate (500mg) + Zinc (7.5mg) + Risedronate (35mg), Osteoporosis
Losartan (50mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Gabapentin (100mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Gabapentin (6% w/w) + Lidocaine (5% w/w), Neuropathic pain
Dexamethasone (0.1% w/w) + Gatifloxacin (0.3% w/w),Treatment of Bacterial eye infections
Empagliflozin (12.5mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Escitalopram Oxalate (10mg),Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Gabapentin (600mg) + Methylcobalamin (1500mcg),Treatment of Neuropathic pain
Glipizide (5mg),Treatment of Type 2 diabetes mellitus
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Letrozole (2.5mg),Treatment of Breast cancerTreatment of Infertility due to anovulation
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Nitroglycerin (6.4mg),Treatment of Angina (heart-related chest pain)
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Isoxsuprine (10mg),Treatment of Premature LaborTreatment of Peripheral vascular disease
Gemifloxacin (320mg), Bacterial infections
Danazol (100mg),Treatment of Benign fibrocystic breast diseaseTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)Treatment of Menstrual pain
Pyridostigmine (180mg),Treatment of Myasthenia gravisTreatment of Paralytic ileusTreatment of Post-operative urinary retention
Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Galantamine (4mg), Alzheimer's disease
Nifedipine (20mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gliclazide (30mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg),Treatment of Type 2 diabetes mellitus
Progesterone (Natural Micronized) (400mg), Hormone replacement therapyTreatment of Female infertility
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Gatifloxacin (0.3% w/v) + Ketorolac (0.4% w/v),Treatment of Post-operative eye pain and inflammation
Ertapenem (1gm), Severe bacterial infections
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Simethicone (62.5mg), Bloating Abdominal pain
Gliclazide (60mg) + Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gefitinib (250mg), Non-small cell lung cancer
Glipizide (2.5mg) + Metformin (250mg),Treatment of Type 2 diabetes mellitus
Nalidixic Acid (300mg/5ml), Bacterial infections
Recombinant follicle stimulating hormone (300IU), Female infertility Male hypogonadism
Glycopyrrolate (50mcg), Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Glimepiride (3mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Gliclazide (60mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Magaldrate (480mg) + Simethicone (20mg) + Oxetacaine (10mg),Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers
Glimepiride (4mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Domperidone (10mg) + Omeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Alpha Lipoic Acid (100mg) + Folic Acid (1.5mg) + Methylcobalamin (750mcg) + Pregabalin (75mg) + Vitamin B6 (Pyridoxine) (3mg), Neuropathic pain
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Acebrophylline (200mg) + Montelukast (10mg),Treatment and prevention of Chronic obstructive pulmonary disease (COPD)Treatment of Sneezing and runny nose due to allergies
Nitroglycerin (0.4mg),Treatment of Angina (heart-related chest pain)
Glimepiride (2mg) + Metformin (1000mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Progesterone (400mg), Hormone replacement therapy Female infertility
Pregabalin (75mg) + Methylcobalamin (1500mcg) + Vitamin B6 (Pyridoxine) (20mg) + Folic Acid (5mg), Neuropathic pain
Progesterone (Natural Micronized) (400mg), Hormone replacement therapyTreatment of Female infertility
Ginkgo Biloba (60mg) + Piracetam (800mg) + Vinpocetine (5mg), Cognitive enhancer
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Lactitol (10gm) + Ispaghula (3.5gm),Treatment of Constipation
Paracetamol (1000mg), Pain reliefTreatment of Fever
Potassium Magnesium Citrate (978mg), Nutritional deficiencies
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Progesterone (Natural Micronized) (8% w/w), Hormone replacement therapyTreatment of Female infertility
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Progesterone (Natural Micronized) (200mg), Hormone replacement therapyTreatment of Female infertility
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Fluconazole (150mg),Treatment of Fungal infections
Glimepiride (4mg),Treatment of Type 2 diabetes mellitus
Lactitol (66.67% w/v), Constipation
Beclometasone (0.025% w/w) + Neomycin (0.5% w/w) + Clotrimazole (1% w/w),Treatment of Skin infections
Glimepiride (0.5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Amlodipine (5mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg),Treatment of Type 2 diabetes mellitus
Cefpodoxime Proxetil (200mg) + Clavulanic Acid (125mg),Treatment of Respiratory tract infection
Benzydamine (22.5mg/15ml) + Chlorhexidine Gluconate (18mg/15ml),Treatment of Inflammation of gums
Glimepiride (0.5mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
